"T12,Gross domestic product and gross domestic product per capita,,,"
"Region/Country/Area,,Year,population,Value"
"35,South-eastern Asia,2018,23792720.38,2974090.048"
"35,South-eastern Asia,1985,4867.0264,608.3783"
"35,South-eastern Asia,1995,11588.2472,1448.5309"
"35,South-eastern Asia,2005,13670.2456,1708.7807"
"35,South-eastern Asia,2010,26546.6168,3318.3271"
"35,South-eastern Asia,2015,31111.572,3888.9465"
"35,South-eastern Asia,2017,34344.3824,4293.0478"
"35,South-eastern Asia,2018,36308.2208,4538.5276"
"35,South-eastern Asia,1985,4071151.192,508893.899"
"35,South-eastern Asia,1995,8125919.48,1015739.935"
"35,South-eastern Asia,2005,11895674.9,1486959.362"
"35,South-eastern Asia,2010,15450337.42,1931292.178"
"35,South-eastern Asia,2015,19734247.7,2466780.962"
"35,South-eastern Asia,2017,21744896.5,2718112.063"
"35,South-eastern Asia,2018,22838538.62,2854817.327"
"35,South-eastern Asia,1985,4.3992,0.5499"
"35,South-eastern Asia,1995,62.7504,7.8438"
"35,South-eastern Asia,2005,45.9944,5.7493"
"35,South-eastern Asia,2010,63.28,7.91"
"35,South-eastern Asia,2015,37.2952,4.6619"
"35,South-eastern Asia,2017,41.6912,5.2114"
"35,South-eastern Asia,2018,40.2352,5.0294"
"34,Southern Asia,1985,3020662.063,377582.7579"
"34,Southern Asia,1995,5001588.214,625198.5267"
"34,Southern Asia,2005,10161560.72,1270195.09"
"34,Southern Asia,2010,20343938.16,2542992.27"
"34,Southern Asia,2015,25039028.34,3129878.542"
"34,Southern Asia,2017,30217434.13,3777179.266"
"34,Southern Asia,2018,31597501.18,3949687.648"
"34,Southern Asia,1985,2848.9032,356.1129"
"34,Southern Asia,1995,3780.4032,472.5504"
"34,Southern Asia,2005,6396.4544,799.5568"
"34,Southern Asia,2010,11879.2872,1484.9109"
"34,Southern Asia,2015,13698.6432,1712.3304"
"34,Southern Asia,2017,16131.0968,2016.3871"
"34,Southern Asia,2018,16666.984,2083.373"
"34,Southern Asia,1985,5526942.129,690867.7661"
"34,Southern Asia,1995,8451032.44,1056379.055"
"34,Southern Asia,2005,14479631.54,1809953.943"
"34,Southern Asia,2010,19432663.82,2429082.978"
"34,Southern Asia,2015,25039028.34,3129878.542"
"34,Southern Asia,2017,28899341.08,3612417.635"
"34,Southern Asia,2018,30380983.02,3797622.877"
"34,Southern Asia,1985,34.9248,4.3656"
"34,Southern Asia,1995,48.948,6.1185"
"34,Southern Asia,2005,54.3296,6.7912"
"34,Southern Asia,2010,57.1272,7.1409"
"34,Southern Asia,2015,49.4168,6.1771"
"34,Southern Asia,2017,52.1224,6.5153"
"34,Southern Asia,2018,41.0152,5.1269"
"145,Western Asia,1985,2786614.722,348326.8402"
"145,Western Asia,1995,5293753.376,661719.172"
"145,Western Asia,2005,12067259.26,1508407.407"
"145,Western Asia,2010,20418184.01,2552273.001"
"145,Western Asia,2015,23661527.34,2957690.918"
"145,Western Asia,2017,24822928.3,3102866.037"
"145,Western Asia,2018,26192614.29,3274076.786"
"145,Western Asia,1985,24166.8216,3020.8527"
"145,Western Asia,1995,31801.4224,3975.1778"
"145,Western Asia,2005,58785.7648,7348.2206"
"145,Western Asia,2010,87955.0848,10994.3856"
"145,Western Asia,2015,91944.728,11493.091"
"145,Western Asia,2017,93186.5544,11648.3193"
"145,Western Asia,2018,96757.3072,12094.6634"
"145,Western Asia,1985,6467136.5,808392.0625"
"145,Western Asia,1995,9800984.112,1225123.014"
"145,Western Asia,2005,15261258.66,1907657.333"
"145,Western Asia,2010,18666609.9,2333326.237"
"145,Western Asia,2015,23661527.34,2957690.918"
